iter	Passed	Remaining
846	921149	1036429
847	922306	1035420
848	923474	1034422
849	924689	1033476
850	925912	1032538
851	927118	1031582
852	928347	1030650
853	929542	1029680
854	930678	1028644
855	931878	1027679
856	933039	1026670
857	934280	1025748
858	935322	1024608
859	936510	1023627
860	937677	1022623
861	938845	1021620
862	940149	1020765
863	941285	1019726
864	942691	1018978
865	943957	1018078
866	945234	1017190
867	946484	1016271
868	947682	1015295
869	948949	1014394
870	950273	1013552
871	951341	1012436
872	952449	1011363
873	953594	1010330
874	954901	1009467
875	956117	1008507
876	956983	1007178
877	958159	1006176
878	959312	1005149
879	960537	1004198
880	961758	1003241
881	963016	1002323
882	964470	1001607
883	965548	1000500
884	966795	999568
885	967925	998514
886	969111	997518
887	970084	996302
888	971079	995110
889	972598	994455
890	973807	993480
891	975238	992732
892	976657	991969
893	977915	991041
894	978915	989852
895	980230	988982
896	981546	988111
897	982842	987219
898	984155	986345
899	985502	985502
900	986755	984565
901	988070	983689
902	989301	982728
903	990508	981743
904	991554	980597
905	992545	979399
906	993755	978416
907	994985	977452
908	996145	976420
909	997345	975426
910	998598	974482
911	1000003	973687
912	1001444	972926
913	1002602	971888
914	1003856	970943
915	1005289	970170
916	1006654	969330
917	1007985	968456
918	1009490	967748
919	1010775	966828
920	1011960	965812
921	1013107	964759
922	1014312	963761
923	1015520	962766
924	1016670	961715
925	1017640	960494
926	1018387	959064
927	1019602	958075
928	1020784	957054
929	1022012	956076
930	1023181	955042
931	1024095	953771
932	1025283	952755
933	1026446	951716
934	1027606	950673
935	1028768	949632
936	1029955	948614
937	1031088	947546
938	1032282	946533
939	1033441	945489
940	1034614	944456
941	1035853	943484
942	1037011	942437
943	1038133	941358
944	1039171	940202
945	1040289	939119
946	1041465	938088
947	1042675	937088
948	1043836	936043
949	1044818	934837
950	1045923	933742
951	1047116	932725
952	1048304	931704
953	1049486	930677
954	1050698	929675
955	1051921	928683
956	1053064	927621
957	1054266	926610
958	1055430	925565
959	1056631	924552
960	1057810	923519
961	1058992	922490
962	1059853	921181
963	1060806	919952
964	1062018	918948
965	1063169	917891
966	1064334	916846
967	1065512	915812
968	1066762	914839
969	1068064	913910
970	1069416	913024
971	1070267	911709
972	1071375	910614
973	1072544	909570
974	1073702	908517
975	1074891	907490
976	1076005	906399
977	1077208	905383
978	1078313	904285
979	1079423	903191
980	1080464	902039
981	1081655	901012
982	1082839	899979
983	1083963	898896
984	1085102	897825
985	1086293	896798
986	1087533	895810
987	1088657	894726
988	1089799	893657
989	1091015	892649
990	1092126	891554
991	1093310	890519
992	1094467	889461
993	1095662	888434
994	1096842	887395
995	1098051	886378
996	1099123	885251
997	1100338	884239
998	1101565	883237
999	1102491	881993
1000	1103688	880966
1001	1104856	879915
1002	1106014	878856
1003	1107236	877849
1004	1108381	876779
1005	1109524	875707
1006	1110325	874367
1007	1111406	873247
1008	1112585	872205
1009	1113605	871038
1010	1114820	870023
1011	1115881	868888
1012	1116979	867781
1013	1118233	866796
1014	1119172	865567
1015	1120395	864556
1016	1121536	863483
1017	1122332	862145
1018	1123442	861048
1019	1124639	860018
1020	1125846	858995
1021	1126596	857624
1022	1127832	856623
1023	1128811	855427
1024	1129934	854340
1025	1130859	853104
1026	1132029	852053
1027	1133171	850981
1028	1134210	849830
1029	1135311	848727
1030	1136469	847667
1031	1137606	846590
1032	1138543	845365
1033	1139742	844334
1034	1140984	843336
1035	1142022	842186
1036	1143266	841188
1037	1144433	840133
1038	1145648	839113
1039	1146747	838008
1040	1147966	836990
1041	1148940	835793
1042	1149731	834465
1043	1150544	833153
1044	1151169	831706
1045	1152329	830646
1046	1153519	829608
1047	1154694	828559
1048	1155849	827495
1049	1156774	826267
1050	1157331	824777
1051	1158453	823691
1052	1159640	822651
1053	1160453	821345
1054	1161581	820263
1055	1162686	819165
1056	1163886	818134
1057	1164987	817032
1058	1166162	815983
1059	1166844	814589
1060	1167991	813520
1061	1169219	812508
1062	1170404	811465
1063	1171571	810410
1064	1172721	809342
1065	1173927	808313
1066	1175082	807249
1067	1176279	806214
1068	1177435	805150
1069	1178644	804121
1070	1179516	802864
1071	1180632	801772
1072	1181824	800733
1073	1183008	799687
1074	1184238	798672
1075	1185452	797646
1076	1186611	796583
1077	1187890	795599
1078	1189197	794635
1079	1190637	793758
1080	1192017	792840
1081	1193372	791904
1082	1194711	790958
1083	1195848	789877
1084	1197025	788823
1085	1198300	787832
1086	1199604	786861
1087	1200799	785817
1088	1202038	784802
1089	1203213	783744
1090	1203945	782399
1091	1205096	781326
1092	1206264	780264
1093	1207249	779084
1094	1208462	778051
1095	1209679	777020
1096	1210601	775800
1097	1211789	774750
1098	1212947	773681
1099	1213960	772520
1100	1215026	771392
1101	1216278	770383
1102	1217521	769367
1103	1218697	768309
1104	1219929	767285
1105	1221401	766413
1106	1222678	765416
1107	1223904	764388
1108	1224804	763155
1109	1225937	762069
1110	1227141	761026
1111	1228275	759940
1112	1229519	758921
1113	1230660	757839
1114	1231890	756811
1115	1233076	755756
1116	1234305	754727
1117	1235429	753633
1118	1236700	752630
1119	1237855	751555
1120	1238830	750370
1121	1240013	749312
1122	1241153	748228
1123	1242432	747228
1124	1243589	746153
1125	1244742	745076
1126	1245957	744036
1127	1247154	742985
1128	1248345	741930
1129	1249543	740879
1130	1250756	739837
1131	1251994	738809
1132	1252846	737554
1133	1253887	736410
1134	1255011	735314
1135	1256201	734258
1136	1257425	733221
1137	1258627	732171
1138	1259652	731018
1139	1260769	729919
1140	1261445	728565
1141	1262551	727459
1142	1263758	726412
1143	1264810	725276
1144	1265922	724173
1145	1266847	722965
1146	1268080	721932
1147	1269246	720861
1148	1270456	719814
1149	1271394	718614
1150	1272346	717421
1151	1273534	716363
1152	1274699	715291
1153	1275894	714235
1154	1277159	713219
1155	1278344	712157
1156	1279530	711096
1157	1280764	710061
1158	1282000	709026
1159	1283134	707936
1160	1284076	706739
1161	1285283	705689
1162	1286361	704567
1163	1287600	703534
1164	1288725	702438
1165	1289911	701375
1166	1291049	700286
1167	1292384	699303
1168	1293574	698242
1169	1294792	697196
1170	1295805	696039
1171	1297006	694982
1172	1298224	693935
1173	1299379	692854
1174	1300563	691789
1175	1301751	690725
1176	1302759	689566
1177	1303851	688451
1178	1304923	687326
1179	1306076	686243
1180	1307244	685168
1181	1308493	684136
1182	1309806	683136
1183	1311098	682125
1184	1312342	681089
1185	1313506	680010
1186	1314657	678926
1187	1315901	677888
1188	1317018	676785
1189	1318272	675752
1190	1319506	674709
1191	1320576	673582
1192	1321829	672548
1193	1322966	671455
1194	1324150	670385
1195	1325329	669313
1196	1326513	668243
1197	1327447	667048
1198	1328600	665962
1199	1329786	664893
1200	1330935	663805
1201	1332068	662709
1202	1333187	661606
1203	1334355	660527
1204	1335596	659485
1205	1336798	658423
1206	1337884	657303
1207	1339083	656239
1208	1340231	655150
1209	1341415	654078
1210	1342436	652927
1211	1343561	651826
1212	1344704	650734
1213	1345924	649680
1214	1347112	648609
1215	1348202	647492
1216	1349323	646388
1217	1350578	645350
1218	1351675	644235
1219	1352907	643185
1220	1353758	641954
1221	1354946	640882
1222	1356022	639758
1223	1357203	638683
1224	1358414	637623
1225	1359497	636502
1226	1360371	635283
1227	1361556	634210
1228	1362756	633143
1229	1363816	632012
1230	1364955	630917
1231	1366072	629812
1232	1367223	628723
1233	1368413	627651
1234	1369550	626555
1235	1370460	625355
1236	1371562	624243
1237	1372276	622956
1238	1373480	621890
1239	1374498	620741
1240	1375618	619637
1241	1376751	618540
1242	1377913	617455
1243	1379097	616381
1244	1380286	615308
1245	1381396	614200
1246	1382383	613037
1247	1383433	611903
1248	1385235	611100
1249	1386295	609970
1250	1387557	608928
1251	1388771	607865
1252	1389908	606767
1253	1391126	605705
1254	1392266	604609
1255	1393533	603568
1256	1394604	602442
1257	1395687	601321
1258	1396997	600298
1259	1398288	599266
1260	1399808	598332
1261	1401087	597294
1262	1402502	596313
1263	1404348	595514
1264	1406092	594671
1265	1407747	593789
1266	1409786	593067
1267	1411893	592371
1268	1414226	591768
1269	1416480	591129
1270	1418684	590467
1271	1420889	589803
1272	1423213	589185
1273	1425368	588496
1274	1427481	587786
1275	1429697	587117
1276	1431700	586357
1277	1433937	585692
1278	1436102	584995
1279	1438275	584299
1280	1440528	583633
1281	1442553	582872
1282	1444689	582154
1283	1446960	581488
1284	1448410	580491
1285	1449799	579468
1286	1451023	578380
1287	1452200	577272
1288	1453342	576150
1289	1454600	575074
1290	1456155	574115
1291	1457441	573049
1292	1459136	572144
1293	1460165	570976
1294	1461812	570050
1295	1463151	569003
1296	1464406	567923
1297	1465803	566897
1298	1467371	565937
1299	1469262	565101
1300	1470939	564180
1301	1472848	563347
1302	1474471	562404
1303	1476028	561434
1304	1477488	560426
1305	1478938	559414
1306	1480702	558520
1307	1482712	557717
1308	1484214	556722
1309	1486219	555914
1310	1488097	555056
1311	1489700	554095
1312	1491459	553191
1313	1493088	552238
1314	1494800	551314
1315	1497018	550575
1316	1498902	549711
1317	1500639	548792
1318	1502444	547896
1319	1504399	547054
1320	1506632	546311
1321	1509239	545700
1322	1510989	544778
1323	1513270	544045
1324	1515195	543183
1325	1517010	542279
1326	1518640	541308
1327	1520179	540304
1328	1521734	539305
1329	1523550	538397
1330	1525232	537440
1331	1526894	536476
1332	1528432	535467
1333	1529935	534445
1334	1531637	533491
1335	1533324	532531
1336	1535222	531643
1337	1536924	530686
1338	1538463	529672
1339	1540013	528661
1340	1541515	527632
1341	1543018	526604
1342	1544723	525643
1343	1546459	524691
1344	1548072	523697
1345	1549607	522675
1346	1551252	521690
1347	1552849	520688
1348	1554517	519708
1349	1556218	518739
1350	1557698	517695
1351	1559206	516660
1352	1560760	515639
1353	1562003	514515
1354	1563841	513586
1355	1565624	512638
1356	1567413	511690
1357	1568951	510660
1358	1570563	509653
1359	1572235	508664
1360	1573855	507657
1361	1575618	506696
1362	1577359	505727
1363	1578895	504691
1364	1580419	503650
1365	1581910	502598
1366	1583298	501512
1367	1585003	500527
1368	1586819	499575
1369	1588392	498546
1370	1589966	497516
1371	1591362	496430
1372	1592910	495391
1373	1594726	494434
1374	1596473	493455
1375	1598173	492460
1376	1599641	491393
1377	1601200	490353
1378	1602583	489258
1379	1604231	488244
1380	1605885	487231
1381	1607477	486198
1382	1609238	485214
1383	1610936	484212
1384	1612763	483246
1385	1614451	482238
1386	1616295	481276
1387	1618125	480308
1388	1619662	479252
1389	1621255	478212
1390	1622789	477153
1391	1624019	476005
1392	1625700	474989
1393	1627604	474036
1394	1629201	472993
1395	1630688	471918
1396	1632160	470837
1397	1633796	469804
1398	1635641	468829
1399	1637374	467821
1400	1639091	466807
1401	1640580	465728
1402	1642101	464657
1403	1643760	463624
1404	1645570	462633
1405	1647273	461611
1406	1648998	460594
1407	1650538	459524
1408	1652148	458474
1409	1653814	457437
1410	1655555	456421
1411	1657334	455414
1412	1658949	454361
1413	1660482	453285
1414	1662042	452216
1415	1663500	451118
1416	1664944	450016
1417	1666653	448985
1418	1668378	447957
1419	1669866	446865
1420	1671390	445782
1421	1672707	444643
1422	1674202	443551
1423	1675934	442522
1424	1677713	441503
1425	1679481	440481
1426	1681029	439400
1427	1682113	438197
1428	1683629	437107
1429	1685230	436038
1430	1686678	434929
1431	1688437	433900
1432	1690087	432841
1433	1691536	431731
1434	1692897	430597
1435	1694288	429471
1436	1696072	428444
1437	1697818	427406
1438	1699747	426413
1439	1701413	425353
1440	1703084	424293
1441	1704668	423211
1442	1706394	422164
1443	1708159	421125
1444	1709946	420090
1445	1711467	418990
1446	1712887	417864
1447	1714548	416796
1448	1715955	415666
1449	1717626	414599
1450	1719576	413599
1451	1720917	412451
1452	1722595	411383
1453	1724103	410274
1454	1725738	409195
1455	1727459	408136
1456	1729098	407056
1457	1730584	405939
1458	1732032	404813
1459	1733730	403745
1460	1735075	402594
1461	1736766	401523
1462	1738622	400489
1463	1740247	399401
1464	1741755	398285
1465	1743263	397169
1466	1744765	396050
1467	1746326	394945
1468	1748143	393897
1469	1749837	392820
1470	1751243	391678
1471	1752744	390557
1472	1754281	389443
1473	1755860	388338
1474	1757614	387271
1475	1759282	386183
1476	1760845	385073
1477	1762309	383940
1478	1763842	382821
1479	1765379	381703
1480	1767107	380626
1481	1768785	379536
1482	1770588	378473
1483	1772143	377356
1484	1773778	376256
1485	1775359	375143
1486	1776939	374029
1487	1778685	372950
1488	1780449	371873
1489	1782037	370759
1490	1783539	369626
1491	1784757	368435
1492	1786391	367328
1493	1788464	366312
1494	1790223	365229
1495	1791986	364146
1496	1793639	363041
1497	1795261	361928
1498	1797048	360848
